claim_id,CLM001,CLM002,CLM003,CLM004,CLM005,CLM006,CLM007,CLM008,CLM009,CLM010,CLM011,CLM012,CLM013,CLM014,CLM015
CLM001,0.99999994,0.7147999,0.76184785,0.7147999,0.74806726,0.4333124,0.74806726,0.64663863,0.71606314,0.74806726,0.4333124,0.71606314,0.99999994,0.64663863,0.74806726
CLM002,0.7147999,1.0000001,0.6988872,1.0000001,0.8636609,0.5032761,0.8636609,0.68140835,0.77724594,0.8636609,0.5032761,0.77724594,0.7147999,0.68140835,0.8636609
CLM003,0.76184785,0.6988872,0.9999999,0.6988872,0.7532312,0.4319576,0.7532312,0.63782406,0.6742158,0.7532312,0.4319576,0.6742158,0.76184785,0.63782406,0.7532312
CLM004,0.7147999,1.0000001,0.6988872,1.0000001,0.8636609,0.5032761,0.8636609,0.68140835,0.77724594,0.8636609,0.5032761,0.77724594,0.7147999,0.68140835,0.8636609
CLM005,0.74806726,0.8636609,0.7532312,0.8636609,1.0000002,0.58850694,1.0000002,0.6921336,0.74016225,1.0000002,0.58850694,0.74016225,0.74806726,0.6921336,1.0000002
CLM006,0.4333124,0.5032761,0.4319576,0.5032761,0.58850694,1.0000001,0.58850694,0.4288505,0.4140337,0.58850694,1.0000001,0.4140337,0.4333124,0.4288505,0.58850694
CLM007,0.74806726,0.8636609,0.7532312,0.8636609,1.0000002,0.58850694,1.0000002,0.6921336,0.74016225,1.0000002,0.58850694,0.74016225,0.74806726,0.6921336,1.0000002
CLM008,0.64663863,0.68140835,0.63782406,0.68140835,0.6921336,0.4288505,0.6921336,0.99999994,0.654495,0.6921336,0.4288505,0.654495,0.64663863,0.99999994,0.6921336
CLM009,0.71606314,0.77724594,0.6742158,0.77724594,0.74016225,0.4140337,0.74016225,0.654495,0.9999998,0.74016225,0.4140337,0.9999998,0.71606314,0.654495,0.74016225
CLM010,0.74806726,0.8636609,0.7532312,0.8636609,1.0000002,0.58850694,1.0000002,0.6921336,0.74016225,1.0000002,0.58850694,0.74016225,0.74806726,0.6921336,1.0000002
CLM011,0.4333124,0.5032761,0.4319576,0.5032761,0.58850694,1.0000001,0.58850694,0.4288505,0.4140337,0.58850694,1.0000001,0.4140337,0.4333124,0.4288505,0.58850694
CLM012,0.71606314,0.77724594,0.6742158,0.77724594,0.74016225,0.4140337,0.74016225,0.654495,0.9999998,0.74016225,0.4140337,0.9999998,0.71606314,0.654495,0.74016225
CLM013,0.99999994,0.7147999,0.76184785,0.7147999,0.74806726,0.4333124,0.74806726,0.64663863,0.71606314,0.74806726,0.4333124,0.71606314,0.99999994,0.64663863,0.74806726
CLM014,0.64663863,0.68140835,0.63782406,0.68140835,0.6921336,0.4288505,0.6921336,0.99999994,0.654495,0.6921336,0.4288505,0.654495,0.64663863,0.99999994,0.6921336
CLM015,0.74806726,0.8636609,0.7532312,0.8636609,1.0000002,0.58850694,1.0000002,0.6921336,0.74016225,1.0000002,0.58850694,0.74016225,0.74806726,0.6921336,1.0000002
